2019-01-05 22:07:00.773382,time,altitude,velocity,acceleration
2019-01-05 22:07:00.825984,6.48,465.691599093,46.5311815991,-10.8681832321
2019-01-05 22:07:00.826079,6.52,467.552846357,46.0964542698,-10.8488993844
2019-01-05 22:07:00.826173,6.56,469.396704528,45.6624982945,-10.8298568575
2019-01-05 22:07:00.826268,6.6,471.22320446,45.2293040202,-10.8110577546
2019-01-05 22:07:00.826422,6.64,473.03237662,44.79686171,-10.7924930078
2019-01-05 22:07:00.826519,6.68,474.824251089,44.3651619897,-10.7741717798
2019-01-05 22:07:00.826615,6.72,476.598857568,43.9341951185,-10.7560733518
2019-01-05 22:07:00.826711,6.76,478.356225373,43.5039521844,-10.7382185933
2019-01-05 22:07:00.826807,6.8,480.096383461,43.0744234407,-10.7205885929
2019-01-05 22:07:00.826903,6.84,481.819360398,42.6455998969,-10.7031853709
2019-01-05 22:07:00.826998,6.88,483.525184394,42.2174724821,-10.6860052755
2019-01-05 22:07:00.827094,6.92,485.213883293,41.7900322711,-10.6690431993
2019-01-05 22:07:00.827189,6.96,486.885484584,41.3632705431,-10.6523028727
2019-01-05 22:07:00.827285,7.0,488.540015406,40.9371784282,-10.6357864887
2019-01-05 22:07:00.827381,7.04,490.177502543,40.5117469687,-10.6194774212
2019-01-05 22:07:00.827476,7.08,491.797972422,40.0869678718,-10.6033888899
2019-01-05 22:07:00.827572,7.12,493.401451137,39.6628323162,-10.587504191
2019-01-05 22:07:00.827667,7.16,494.987964429,39.2393321486,-10.5718309394
2019-01-05 22:07:00.827763,7.2,496.557537715,38.816458911,-10.5563604572
2019-01-05 22:07:00.827859,7.24,498.110196072,38.3942044927,-10.5410936261
2019-01-05 22:07:00.827954,7.28,499.645964251,37.9725607477,-10.5260269376
2019-01-05 22:07:00.828049,7.32,501.164866681,37.5515196702,-10.511160141
2019-01-05 22:07:00.828145,7.36,502.666927468,37.1310732645,-10.4964908484
2019-01-05 22:07:00.828241,7.4,504.152170399,36.7112136306,-10.482011405
2019-01-05 22:07:00.828337,7.44,505.620618944,36.2919331744,-10.4677237466
2019-01-05 22:07:00.828432,7.48,507.072296271,35.8732242245,-10.453631455
2019-01-05 22:07:00.828528,7.52,508.50722524,35.4550789663,-10.439726739
2019-01-05 22:07:00.828624,7.56,509.925428399,35.0374898968,-10.4260010907
2019-01-05 22:07:00.828720,7.6,511.326927994,34.6204498531,-10.4124643327
2019-01-05 22:07:00.828816,7.64,512.711745989,34.2039512798,-10.399101083
2019-01-05 22:07:00.828913,7.68,514.07990404,33.7879872365,-10.3859298113
2019-01-05 22:07:00.829008,7.72,515.431423529,33.3725500441,-10.3729249029
2019-01-05 22:07:00.829137,7.76,516.766325531,32.9576330479,-10.360099119
2019-01-05 22:07:00.829303,7.8,518.084630853,32.5432290832,-10.3474442437
2019-01-05 22:07:00.829401,7.84,519.386360016,32.1293313134,-10.3349651386
2019-01-05 22:07:00.829495,7.88,520.671533269,31.7159327079,-10.3226510839
2019-01-05 22:07:00.829587,7.92,521.940170577,31.3030266645,-10.3105063239
2019-01-05 22:07:00.829679,7.96,523.192291644,30.8906064116,-10.2985236474
2019-01-05 22:07:00.829825,8.0,524.4279159,30.4786654657,-10.2867095735
2019-01-05 22:07:00.829936,8.04,525.647062519,30.0671970827,-10.2750515273
2019-01-05 22:07:00.830029,8.08,526.849750402,29.6561950216,-10.2635457529
2019-01-05 22:07:00.830123,8.12,528.035998203,29.2456531915,-10.252221408
2019-01-05 22:07:00.830216,8.16,529.205824331,28.8355643352,-10.2410445551
2019-01-05 22:07:00.830310,8.2,530.359246904,28.425922553,-10.2300217583
2019-01-05 22:07:00.830402,8.24,531.496283806,28.0167216827,-10.2191425161
2019-01-05 22:07:00.830521,8.28,532.616952673,27.607955982,-10.2084288151
2019-01-05 22:07:00.830621,8.32,533.721270913,27.1996188294,-10.1978667914
2019-01-05 22:07:00.830717,8.36,534.809255666,26.7917041578,-10.1874483372
2019-01-05 22:07:00.830812,8.4,535.880923832,26.3842062243,-10.1771797346
2019-01-05 22:07:00.830924,8.44,536.936292081,25.9771190349,-10.1670544983
2019-01-05 22:07:00.831017,8.48,537.975376842,25.570436855,-10.1570755962
2019-01-05 22:07:00.831109,8.52,538.998194317,25.1641538311,-10.1472453591
2019-01-05 22:07:00.831200,8.56,540.00476047,24.7582640168,-10.1375522935
2019-01-05 22:07:00.831291,8.6,540.995091031,24.352761925,-10.12800672
2019-01-05 22:07:00.831383,8.64,541.969201508,23.9476416562,-10.1185999898
2019-01-05 22:07:00.831474,8.68,542.927107174,23.5428976566,-10.1093317892
2019-01-05 22:07:00.831565,8.72,543.86882308,23.1385243851,-10.1002024541
2019-01-05 22:07:00.831657,8.76,544.794364056,22.7345162869,-10.0912124476
2019-01-05 22:07:00.831747,8.8,545.703744707,22.330867789,-10.0823587176
2019-01-05 22:07:00.831889,8.84,546.596979419,21.9275734403,-10.0736414661
2019-01-05 22:07:00.831981,8.88,547.474082356,21.5246277816,-10.0650597279
2019-01-05 22:07:00.832070,8.92,548.335067467,21.1220253925,-10.0566130404
2019-01-05 22:07:00.832161,8.96,549.179948483,20.7197608709,-10.0482993705
2019-01-05 22:07:00.832251,9.0,550.008738918,20.3178288961,-10.0401212514
2019-01-05 22:07:00.832341,9.04,550.821452074,19.916224046,-10.0320767529
2019-01-05 22:07:00.832431,9.08,551.618101036,19.5149409759,-10.0241648378
2019-01-05 22:07:00.832521,9.12,552.398698675,19.1139743824,-10.0163851049
2019-01-05 22:07:00.832610,9.16,553.16325765,18.7133189782,-10.0087350761
2019-01-05 22:07:00.832700,9.2,553.911790409,18.3129695752,-10.0012216413
2019-01-05 22:07:00.832790,9.24,554.644309192,17.9129207095,-9.9938377664
2019-01-05 22:07:00.832880,9.28,555.360826021,17.5131671989,-9.98658611933
2019-01-05 22:07:00.832969,9.32,556.061352708,17.1137037541,-9.97946473044
2019-01-05 22:07:00.833059,9.36,556.745900859,16.7145251649,-9.9724760593
2019-01-05 22:07:00.833149,9.4,557.414481865,16.3156261225,-9.96561722944
2019-01-05 22:07:00.833239,9.44,558.06710691,15.9170014333,-9.95889609597
2019-01-05 22:07:00.833328,9.48,558.703786967,15.5186455895,-9.95230346707
2019-01-05 22:07:00.833418,9.52,559.324532791,15.1205534508,-9.94584380352
2019-01-05 22:07:00.833508,9.56,559.929354929,14.7227196987,-9.93951762524
2019-01-05 22:07:00.833597,9.6,560.518263717,14.3251389936,-9.93332447729
2019-01-05 22:07:00.833715,9.64,561.091269277,13.9278060146,-9.92726365301
2019-01-05 22:07:00.833951,9.68,561.648381517,13.5307154684,-9.92134100278
2019-01-05 22:07:00.834064,9.72,562.189610136,13.1338618283,-9.91555140394
2019-01-05 22:07:00.834183,9.76,562.714964609,12.7372397722,-9.90989881196
2019-01-05 22:07:00.834286,9.8,563.2244542,12.3408438197,-9.90438343547
2019-01-05 22:07:00.834386,9.84,563.718087953,11.9446684823,-9.89900536264
2019-01-05 22:07:00.834485,9.88,564.195874692,11.5487082678,-9.89376666118
2019-01-05 22:07:00.834583,9.92,564.657823023,11.1529576013,-9.88866787968
2019-01-05 22:07:00.834681,9.96,565.103941327,10.7574108861,-9.88371029731
2019-01-05 22:07:00.834860,10.0,565.534237762,10.3620624742,-9.87889529304
2019-01-05 22:07:00.834998,10.04,565.948720261,9.96690666252,-9.82770150103
2019-01-05 22:07:00.835113,10.08,566.347396528,9.57379860247,-9.82364002426
2019-01-05 22:07:00.835223,10.12,566.730348472,9.1808530015,-9.8197886335
2019-01-05 22:07:00.835321,10.16,567.097582592,8.78806145616,-9.81613486836
2019-01-05 22:07:00.835417,10.2,567.44910505,8.39541606143,-9.81268678142
2019-01-05 22:07:00.835514,10.24,567.784921693,8.00290859017,-9.80945244653
2019-01-05 22:07:00.835611,10.28,568.105038036,7.61053049231,-9.8064401195
2019-01-05 22:07:00.835714,10.32,568.409459256,7.21827288753,-9.80365840512
2019-01-05 22:07:00.835907,10.36,568.698190172,6.82612655133,-9.801116184
