Time	Altitude	Temperature	Voltage
16.65	4796	86.5F	9.4
16.7	4797	86.5F	9.4
16.75	4800	86.5F	9.4
16.8	4800	86.5F	9.4
16.85	4801	86.5F	9.4
16.9	4802	86.5F	9.4
16.95	4804	86.5F	9.4
17	4806	86.5F	9.4
17.05	4808	86.5F	9.4
17.1	4808	86.5F	9.4
17.15	4810	86.5F	9.4
17.2	4811	86.5F	9.4
17.25	4812	86.5F	9.4
17.3	4812	86.5F	9.4
17.35	4814	86.5F	9.4
17.4	4814	86.5F	9.4
17.45	4814	86.5F	9.4
17.5	4815	86.5F	9.4
17.55	3491	86.5F	9.3
17.6	4815	86.6F	9.3
17.65	4820	86.7F	9.3
17.7	4820	86.9F	9.4
17.75	4820	87.1F	9.4
17.8	4821	87.2F	9.4
17.85	4819	87.3F	9.4
17.9	4820	87.4F	9.4
17.95	4819	87.5F	9.4
18	4820	87.5F	9.4
18.05	4822	87.6F	9.4
18.1	4823	87.6F	9.4
18.15	4822	87.7F	9.4
18.2	4824	87.7F	9.4
18.25	4824	87.7F	9.4
18.3	4823	87.7F	9.4
18.35	4822	87.7F	9.4
18.4	4825	87.7F	9.4
18.45	4825	87.7F	9.4
18.5	4824	87.7F	9.4
18.55	4823	87.7F	9.4
18.6	4825	87.7F	9.4
18.65	4821	87.7F	9.4
18.7	4821	87.7F	9.4
18.75	4821	87.7F	9.4
18.8	4818	87.7F	9.4
18.85	4815	87.7F	9.4
18.9	4815	87.7F	9.4
18.95	4818	87.6F	9.4
19	4819	87.6F	9.4
19.05	4817	87.6F	9.4
19.1	4817	87.6F	9.4
19.15	4817	87.6F	9.4
19.2	4818	87.6F	9.4
19.25	4814	87.6F	9.4
19.3	4816	87.6F	9.4
19.35	4810	87.6F	9.4
19.4	4806	87.5F	9.4
19.45	4805	87.5F	9.4
19.5	4804	87.5F	9.4
19.55	4800	87.5F	9.4
19.6	4799	87.5F	9.4
19.65	4797	87.5F	9.4
19.7	4791	87.5F	9.4
19.75	4786	87.5F	9.4
19.8	4782	87.5F	9.4
19.85	4779	87.5F	9.4
19.9	4777	87.5F	9.4
19.95	4774	87.5F	9.4
20	4775	87.5F	9.4
20.05	4774	87.4F	9.4
20.1	4774	87.4F	9.4
20.15	4780	87.4F	9.4
20.2	4774	87.4F	9.4
20.25	4773	87.4F	9.4
20.3	4770	87.4F	9.4
20.35	4771	87.4F	9.4
20.4	4765	87.4F	9.4
20.45	4763	87.4F	9.4
20.5	4762	87.4F	9.4
20.55	4755	87.4F	9.4
20.6	4752	87.4F	9.4
20.65	4750	87.4F	9.4
20.7	4751	87.4F	9.4
20.75	4749	87.4F	9.4
20.8	4744	87.4F	9.4
20.85	4741	87.4F	9.4
20.9	4740	87.4F	9.4
20.95	4742	87.4F	9.4
21	4740	87.4F	9.4
21.05	4737	87.4F	9.4
21.1	4730	87.4F	9.4
21.15	4734	87.4F	9.4
21.2	4729	87.4F	9.4
21.25	4730	87.4F	9.4
21.3	4721	87.4F	9.4
21.35	4714	87.4F	9.4
21.4	4710	87.4F	9.4
21.45	4708	87.4F	9.4
21.5	4700	87.4F	9.4
21.55	4694	87.4F	9.4
21.6	4689	87.4F	9.4
21.65	4683	87.4F	9.4
21.7	4681	87.4F	9.4
21.75	4683	87.4F	9.4
21.8	4682	87.4F	9.4
21.85	4678	87.4F	9.4
21.9	4683	87.4F	9.4
21.95	4679	87.4F	9.4
22	4676	87.4F	9.4
22.05	4673	87.4F	9.4
22.1	4671	87.4F	9.4
22.15	4671	87.4F	9.4
22.2	4671	87.3F	9.4
22.25	4667	87.4F	9.4
22.3	4667	87.4F	9.4
22.35	4662	87.4F	9.4
22.4	4656	87.4F	9.4
22.45	4653	87.4F	9.4
22.5	4650	87.3F	9.4
22.55	4642	87.4F	9.4
22.6	4635	87.3F	9.4
22.65	4632	87.3F	9.4
22.7	4626	87.3F	9.4
22.75	4624	87.3F	9.4
22.8	4622	87.3F	9.4
22.85	4621	87.3F	9.4
22.9	4624	87.3F	9.4
22.95	4625	87.3F	9.4
23	4625	87.3F	9.4
23.05	4623	87.3F	9.4
23.1	4624	87.3F	9.4
23.15	4619	87.3F	9.4
23.2	4621	87.3F	9.4
23.25	4617	87.3F	9.4
23.3	4614	87.3F	9.4
23.35	4616	87.3F	9.4
23.4	4615	87.3F	9.4
23.45	4618	87.3F	9.4
23.5	4613	87.3F	9.4
23.55	4610	87.3F	9.4
23.6	4603	87.3F	9.4
23.65	4600	87.3F	9.4
23.7	4595	87.3F	9.4
23.75	4550	87.3F	9.4
23.8	4577	87.3F	9.4
23.85	4583	87.3F	9.4
23.9	4579	87.3F	9.4
23.95	4578	87.3F	9.4
24	4573	87.3F	9.4
24.05	4573	87.3F	9.4
24.1	4571	87.4F	9.4
24.15	4564	87.4F	9.4
24.2	4562	87.4F	9.4
24.25	4556	87.4F	9.4
24.3	4559	87.4F	9.4
24.35	4556	87.4F	9.4
24.4	4548	87.4F	9.4
24.45	4545	87.4F	9.4
24.5	4540	87.4F	9.4
24.55	4540	87.4F	9.4
24.6	4537	87.4F	9.4
24.65	4532	87.4F	9.4
24.7	4526	87.4F	9.4
24.75	4524	87.4F	9.4
24.8	4521	87.4F	9.4
24.85	4526	87.4F	9.4
24.9	4518	87.4F	9.4
24.95	4522	87.5F	9.4
25	4518	87.5F	9.4
25.05	4518	87.5F	9.4
25.1	4506	87.5F	9.4
25.15	4493	87.5F	9.4
25.2	4485	87.5F	9.4
