PerfectFlite SLCF				
Firmware: 1.0				
Software: 1.16				
Serial Number: 5241				
Apogee: 4823' AGL				
Ground Elevation: 605' MSL				
NumSamps: 2432				
Flight Number: 12				
Main Setting: 700' AGL				
Apogee Delay: 0 Seconds				
Drogue At: 17.50 Seconds				
Main At: 85.90 Seconds				
Max Drogue Current: 5 Amps				
Max Main Current: 0 Amps				
Comments: 				
				
				
Data: (Time	 Altitude	 Velocity	 Temperature (F)	 Voltage)
0	0	0	86.5	9.4
0.05	0	7	86.49	9.4
0.1	1	1	86.49	9.4
0.15	1	4	86.49	9.4
0.2	0	10	86.49	9.4
0.25	1	14	86.49	9.4
0.3	2	20	86.49	9.4
0.35	3	24	86.49	9.4
0.4	9	29	86.49	9.4
0.45	5	38	86.49	9.4
0.5	6	48	86.49	9.4
0.55	12	61	86.54	9.4
0.6	15	77	86.49	9.4
0.65	19	94	86.49	9.4
0.7	26	110	86.49	9.4
0.75	32	125	86.49	9.4
0.8	38	140	86.49	9.4
0.85	46	153	86.5	9.4
0.9	56	166	86.49	9.4
0.95	63	178	86.49	9.4
1	73	188	86.49	9.4
1.05	85	198	86.5	9.4
1.1	94	207	86.49	9.4
1.15	103	216	86.49	9.4
1.2	116	225	86.49	9.4
1.25	128	237	86.49	9.4
1.3	140	249	86.49	9.4
1.35	152	265	86.49	9.4
1.4	165	284	86.49	9.4
1.45	181	304	86.49	9.4
1.5	198	320	86.49	9.4
1.55	216	332	86.5	9.4
1.6	234	336	86.49	9.4
1.65	253	334	86.49	9.4
1.7	268	332	86.5	9.4
1.75	280	334	86.5	9.4
1.8	298	342	86.49	9.4
1.85	315	357	86.5	9.4
1.9	333	373	86.54	9.4
1.95	357	387	86.5	9.4
2	378	397	86.5	9.4
2.05	395	403	86.5	9.4
2.1	414	403	86.5	9.4
2.15	436	402	86.54	9.4
2.2	460	404	86.54	9.4
2.25	480	413	86.54	9.4
2.3	491	436	86.5	9.4
2.35	513	474	86.54	9.4
2.4	537	523	86.5	9.4
2.45	576	576	86.54	9.4
2.5	606	625	86.54	9.4
2.55	639	662	86.54	9.4
2.6	673	687	86.54	9.4
2.65	711	701	86.5	9.4
2.7	749	706	86.54	9.4
2.75	784	705	86.54	9.4
2.8	816	703	86.54	9.4
2.85	850	696	86.54	9.4
2.9	890	687	86.54	9.4
2.95	921	675	86.54	9.4
3	956	659	86.54	9.4
3.05	987	642	86.54	9.4
3.1	1018	626	86.54	9.4
3.15	1048	612	86.54	9.4
3.2	1077	604	86.56	9.4
3.25	1106	601	86.54	9.4
3.3	1137	599	86.54	9.4
3.35	1168	599	86.54	9.4
3.4	1196	598	86.56	9.4
3.45	1228	595	86.54	9.4
3.5	1257	590	86.58	9.4
3.55	1286	584	86.54	9.4
3.6	1315	576	86.56	9.4
3.65	1344	569	86.56	9.4
3.7	1372	563	86.56	9.4
3.75	1397	558	86.56	9.4
3.8	1427	555	86.54	9.4
3.85	1454	554	86.54	9.4
3.9	1482	551	86.54	9.4
3.95	1511	548	86.54	9.4
4	1536	546	86.54	9.4
4.05	1563	542	86.56	9.4
4.1	1591	538	86.56	9.4
4.15	1618	535	86.58	9.4
4.2	1645	531	86.54	9.4
4.25	1670	527	86.54	9.4
4.3	1695	525	86.56	9.4
4.35	1722	523	86.56	9.4
4.4	1751	522	86.54	9.4
4.45	1774	521	86.56	9.4
4.5	1800	519	86.58	9.4
4.55	1825	517	86.56	9.4
4.6	1853	512	86.54	9.4
4.65	1882	505	86.56	9.4
4.7	1902	498	86.54	9.4
4.75	1925	492	86.56	9.4
4.8	1951	487	86.56	9.4
4.85	1976	484	86.56	9.4
4.9	2000	481	86.56	9.4
4.95	2024	479	86.56	9.4
5	2047	477	86.56	9.4
5.05	2071	476	86.56	9.4
5.1	2092	476	86.56	9.4
5.15	2119	475	86.56	9.4
5.2	2144	473	86.54	9.4
5.25	2167	470	86.56	9.4
5.3	2189	466	86.54	9.4
5.35	2211	463	86.56	9.4
5.4	2235	460	86.54	9.4
5.45	2258	458	86.54	9.4
5.5	2282	456	86.56	9.4
5.55	2304	453	86.58	9.4
5.6	2326	450	86.54	9.4
5.65	2348	446	86.56	9.4
5.7	2371	443	86.54	9.4
5.75	2392	440	86.56	9.4
5.8	2415	437	86.54	9.4
5.85	2437	436	86.56	9.4
5.9	2456	435	86.54	9.4
5.95	2479	434	86.54	9.4
6	2501	433	86.54	9.4
6.05	2525	430	86.54	9.4
6.1	2545	427	86.56	9.4
6.15	2564	424	86.56	9.4
6.2	2586	421	86.54	9.4
6.25	2607	419	86.54	9.4
6.3	2629	416	86.54	9.4
6.35	2649	413	86.54	9.4
6.4	2670	409	86.54	9.4
6.45	2689	405	86.54	9.4
6.5	2710	402	86.54	9.4
6.55	2729	400	86.56	9.4
6.6	2749	399	86.54	9.4
6.65	2769	399	86.54	9.4
6.7	2790	398	86.54	9.4
6.75	2809	397	86.54	9.4
6.8	2829	395	86.54	9.4
6.85	2848	392	86.54	9.4
6.9	2868	389	86.54	9.4
6.95	2889	385	86.54	9.4
7	2906	382	86.54	9.4
7.05	2924	380	86.54	9.4
7.1	2945	378	86.54	9.4
7.15	2962	376	86.54	9.4
7.2	2982	373	86.54	9.4
7.25	3002	369	86.54	9.4
7.3	3018	366	86.54	9.4
7.35	3036	363	86.54	9.4
7.4	3054	361	86.5	9.4
7.45	3073	361	86.49	9.4
7.5	3089	361	86.54	9.4
7.55	3109	360	86.54	9.4
7.6	3127	358	86.54	9.4
7.65	3146	355	86.54	9.4
7.7	3161	351	86.54	9.4
7.75	3179	348	86.54	9.4
7.8	3196	346	86.54	9.4
7.85	3214	345	86.5	9.4
7.9	3231	342	86.54	9.4
7.95	3248	338	86.54	9.4
8	3266	334	86.54	9.4
8.05	3281	330	86.54	9.4
8.1	3297	327	86.54	9.4
8.15	3313	327	86.54	9.4
8.2	3328	328	86.54	9.4
8.25	3347	329	86.5	9.4
8.3	3364	329	86.5	9.4
8.35	3379	326	86.5	9.4
8.4	3396	322	86.54	9.4
8.45	3411	318	86.54	9.4
8.5	3428	314	86.5	9.4
8.55	3442	311	86.54	9.4
8.6	3457	310	86.5	9.4
8.65	3473	310	86.5	9.4
8.7	3489	310	86.54	9.4
8.75	3504	309	86.54	9.4
8.8	3520	307	86.5	9.4
8.85	3535	304	86.49	9.4
8.9	3551	300	86.49	9.4
8.95	3564	298	86.5	9.4
9	3578	295	86.54	9.4
9.05	3595	293	86.49	9.4
9.1	3609	292	86.49	9.4
9.15	3623	290	86.49	9.4
9.2	3638	287	86.49	9.4
9.25	3652	284	86.49	9.4
9.3	3665	281	86.5	9.4
9.35	3680	279	86.49	9.4
9.4	3694	278	86.5	9.4
9.45	3707	278	86.5	9.4
9.5	3720	278	86.5	9.4
9.55	3736	277	86.49	9.4
9.6	3749	275	86.5	9.4
9.65	3763	272	86.49	9.4
9.7	3777	268	86.49	9.4
9.75	3789	264	86.49	9.4
9.8	3802	261	86.49	9.4
9.85	3814	260	86.49	9.4
9.9	3829	259	86.49	9.4
9.95	3841	258	86.5	9.4
10	3854	256	86.49	9.4
10.05	3866	254	86.5	9.4
10.1	3880	253	86.49	9.4
10.15	3891	251	86.49	9.4
10.2	3905	250	86.49	9.4
10.25	3916	248	86.49	9.4
10.3	3929	245	86.49	9.4
10.35	3942	241	86.49	9.4
10.4	3953	239	86.49	9.4
10.45	3965	237	86.49	9.4
10.5	3975	236	86.49	9.4
10.55	3988	236	86.49	9.4
10.6	4000	236	86.49	9.4
10.65	4012	236	86.49	9.4
10.7	4025	234	86.49	9.4
10.75	4035	232	86.49	9.4
10.8	4046	230	86.49	9.4
10.85	4058	228	86.49	9.4
10.9	4070	226	86.49	9.4
10.95	4081	223	86.49	9.4
11	4092	220	86.49	9.4
11.05	4103	217	86.49	9.4
11.1	4112	215	86.49	9.4
11.15	4124	212	86.49	9.4
11.2	4135	210	86.49	9.4
11.25	4145	208	86.49	9.4
11.3	4155	206	86.49	9.4
11.35	4164	206	86.49	9.4
11.4	4175	206	86.49	9.4
11.45	4186	207	86.49	9.4
11.5	4196	207	86.49	9.4
11.55	4207	205	86.49	9.4
11.6	4217	203	86.49	9.4
11.65	4226	200	86.49	9.4
11.7	4237	198	86.49	9.4
11.75	4246	196	86.49	9.4
11.8	4256	195	86.49	9.4
11.85	4266	193	86.49	9.4
11.9	4275	192	86.49	9.4
11.95	4285	190	86.49	9.4
12	4294	187	86.49	9.4
12.05	4305	185	86.49	9.4
12.1	4311	183	86.49	9.4
12.15	4322	181	86.49	9.4
12.2	4330	179	86.49	9.4
12.25	4340	177	86.49	9.4
12.3	4348	174	86.49	9.4
12.35	4357	172	86.49	9.4
12.4	4365	170	86.49	9.4
12.45	4373	168	86.49	9.4
12.5	4382	167	86.49	9.4
12.55	4389	167	86.49	9.4
12.6	4399	166	86.49	9.4
12.65	4407	165	86.49	9.4
12.7	4414	163	86.49	9.4
12.75	4424	160	86.49	9.4
12.8	4431	158	86.49	9.4
12.85	4438	155	86.49	9.4
12.9	4447	152	86.49	9.4
12.95	4453	150	86.49	9.4
13	4461	149	86.49	9.4
13.05	4468	148	86.49	9.4
13.1	4476	148	86.49	9.4
13.15	4483	147	86.49	9.4
13.2	4491	146	86.49	9.4
13.25	4497	144	86.49	9.4
13.3	4505	142	86.49	9.4
13.35	4512	140	86.49	9.4
13.4	4519	137	86.49	9.4
13.45	4526	134	86.49	9.4
13.5	4532	132	86.49	9.4
13.55	4537	131	86.49	9.4
13.6	4545	130	86.49	9.4
13.65	4551	131	86.49	9.4
13.7	4558	131	86.49	9.4
13.75	4565	129	86.49	9.4
13.8	4571	127	86.49	9.4
13.85	4577	125	86.49	9.4
13.9	4583	122	86.49	9.4
13.95	4590	120	86.49	9.4
14	4594	118	86.49	9.4
14.05	4601	116	86.49	9.4
14.1	4607	115	86.49	9.4
14.15	4612	114	86.49	9.4
14.2	4617	113	86.49	9.4
14.25	4625	111	86.49	9.4
14.3	4629	109	86.49	9.4
14.35	4634	107	86.49	9.4
14.4	4639	105	86.49	9.4
14.45	4645	103	86.49	9.4
14.5	4650	103	86.49	9.4
14.55	4654	101	86.49	9.4
14.6	4660	100	86.49	9.4
14.65	4665	99	86.49	9.4
14.7	4670	97	86.49	9.4
14.75	4675	96	86.49	9.4
14.8	4678	94	86.49	9.4
14.85	4684	93	86.49	9.4
14.9	4688	91	86.49	9.4
14.95	4694	90	86.49	9.4
15	4697	87	86.49	9.4
15.05	4702	85	86.49	9.4
15.1	4705	83	86.49	9.4
15.15	4709	82	86.49	9.4
15.2	4714	81	86.49	9.4
15.25	4719	79	86.49	9.4
15.3	4721	77	86.49	9.4
15.35	4726	75	86.49	9.4
15.4	4728	73	86.49	9.4
15.45	4733	71	86.49	9.4
15.5	4736	69	86.49	9.4
15.55	4740	68	86.49	9.4
15.6	4742	67	86.49	9.4
15.65	4746	67	86.49	9.4
15.7	4749	66	86.49	9.4
15.75	4753	64	86.49	9.4
15.8	4756	62	86.49	9.4
15.85	4759	58	86.49	9.4
15.9	4763	55	86.49	9.4
15.95	4763	53	86.49	9.4
16	4765	53	86.49	9.4
16.05	4769	53	86.49	9.4
16.1	4774	53	86.49	9.4
16.15	4774	52	86.49	9.4
16.2	4777	49	86.49	9.4
16.25	4780	47	86.49	9.4
16.3	4781	45	86.49	9.4
16.35	4784	43	86.49	9.4
16.4	4786	42	86.49	9.4
16.45	4788	41	86.49	9.4
16.5	4790	40	86.49	9.4
16.55	4791	39	86.49	9.4
16.6	4794	38	86.49	9.4
16.65	4796	36	86.49	9.4
16.7	4797	33	86.49	9.4
16.75	4800	30	86.49	9.4
16.8	4800	29	86.49	9.4
16.85	4801	28	86.49	9.4
16.9	4802	28	86.49	9.4
16.95	4804	29	86.49	9.4
17	4806	29	86.49	9.4
17.05	4808	28	86.49	9.4
17.1	4808	26	86.49	9.4
17.15	4810	24	86.49	9.4
17.2	4811	21	86.49	9.4
17.25	4812	19	86.49	9.4
17.3	4812	17	86.49	9.4
17.35	4814	14	86.49	9.4
17.4	4814	13	86.49	9.4
17.45	4814	13	86.49	9.4
17.5	4815	14	86.49	9.4
17.55	3491	18	86.49	9.3
17.6	4815	20	86.58	9.3
17.65	4820	19	86.72	9.3
17.7	4820	17	86.9	9.4
17.75	4820	12	87.04	9.4
17.8	4821	7	87.19	9.4
17.85	4819	4	87.3	9.4
17.9	4820	3	87.39	9.4
17.95	4819	6	87.48	9.4
18	4820	10	87.55	9.4
18.05	4822	12	87.58	9.4
18.1	4823	12	87.64	9.4
18.15	4822	11	87.66	9.4
18.2	4824	8	87.67	9.4
18.25	4824	6	87.69	9.4
18.3	4823	4	87.73	9.4
18.35	4822	4	87.73	9.4
18.4	4825	2	87.75	9.4
18.45	4825	0	87.73	9.4
18.5	4824	-2	87.73	9.4
18.55	4823	-7	87.73	9.4
18.6	4825	-13	87.73	9.4
18.65	4821	-17	87.69	9.4
18.7	4821	-21	87.67	9.4
18.75	4821	-23	87.66	9.4
18.8	4818	-20	87.66	9.4
18.85	4815	-15	87.66	9.4
18.9	4815	-9	87.66	9.4
18.95	4818	-3	87.64	9.4
19	4819	0	87.64	9.4
19.05	4817	0	87.62	9.4
19.1	4817	-4	87.62	9.4
19.15	4817	-11	87.58	9.4
19.2	4818	-18	87.58	9.4
19.25	4814	-28	87.57	9.4
19.3	4816	-43	87.57	9.4
19.35	4810	-56	87.57	9.4
19.4	4806	-65	87.55	9.4
19.45	4805	-72	87.53	9.4
19.5	4804	-61	87.53	9.4
19.55	4800	-51	87.53	9.4
19.6	4799	-43	87.49	9.4
19.65	4797	-35	87.49	9.4
19.7	4791	-36	87.48	9.4
19.75	4786	-36	87.49	9.4
19.8	4782	-36	87.48	9.4
19.85	4779	-37	87.48	9.4
19.9	4777	-38	87.48	9.4
19.95	4774	-39	87.48	9.4
20	4775	-40	87.48	9.4
20.05	4774	-41	87.42	9.4
20.1	4774	-42	87.4	9.4
20.15	4780	-43	87.42	9.4
20.2	4774	-43	87.42	9.4
20.25	4773	-44	87.4	9.4
20.3	4770	-45	87.42	9.4
20.35	4771	-46	87.4	9.4
20.4	4765	-47	87.39	9.4
20.45	4763	-48	87.4	9.4
20.5	4762	-50	87.39	9.4
20.55	4755	-52	87.39	9.4
20.6	4752	-53	87.39	9.4
20.65	4750	-54	87.39	9.4
20.7	4751	-54	87.39	9.4
20.75	4749	-53	87.39	9.4
20.8	4744	-52	87.39	9.4
20.85	4741	-51	87.39	9.4
20.9	4740	-50	87.39	9.4
20.95	4742	-49	87.39	9.4
21	4740	-50	87.39	9.4
21.05	4737	-51	87.39	9.4
21.1	4730	-52	87.39	9.4
21.15	4734	-53	87.39	9.4
21.2	4729	-53	87.39	9.4
21.25	4730	-53	87.39	9.4
21.3	4721	-53	87.39	9.4
21.35	4714	-53	87.39	9.4
21.4	4710	-54	87.39	9.4
21.45	4708	-54	87.39	9.4
21.5	4700	-55	87.39	9.4
21.55	4694	-56	87.39	9.4
21.6	4689	-57	87.39	9.4
21.65	4683	-59	87.39	9.4
21.7	4681	-60	87.39	9.4
21.75	4683	-61	87.37	9.4
21.8	4682	-61	87.39	9.4
21.85	4678	-61	87.39	9.4
21.9	4683	-61	87.39	9.4
21.95	4679	-60	87.39	9.4
22	4676	-59	87.37	9.4
22.05	4673	-58	87.37	9.4
22.1	4671	-57	87.39	9.4
22.15	4671	-56	87.37	9.4
22.2	4671	-55	87.35	9.4
22.25	4667	-54	87.37	9.4
22.3	4667	-53	87.37	9.4
22.35	4662	-51	87.39	9.4
22.4	4656	-49	87.39	9.4
22.45	4653	-46	87.37	9.4
22.5	4650	-44	87.35	9.4
22.55	4642	-43	87.37	9.4
22.6	4635	-42	87.35	9.4
22.65	4632	-43	87.35	9.4
22.7	4626	-46	87.35	9.4
22.75	4624	-49	87.35	9.4
22.8	4622	-52	87.31	9.4
22.85	4621	-53	87.35	9.4
22.9	4624	-53	87.35	9.4
22.95	4625	-52	87.35	9.4
23	4625	-51	87.3	9.4
23.05	4623	-51	87.3	9.4
23.1	4624	-52	87.3	9.4
23.15	4619	-52	87.31	9.4
23.2	4621	-53	87.3	9.4
23.25	4617	-54	87.3	9.4
23.3	4614	-54	87.3	9.4
23.35	4616	-54	87.3	9.4
23.4	4615	-53	87.31	9.4
23.45	4618	-53	87.3	9.4
23.5	4613	-52	87.31	9.4
23.55	4610	-51	87.3	9.4
23.6	4603	-50	87.3	9.4
23.65	4600	-50	87.31	9.4
23.7	4595	-49	87.35	9.4
23.75	4550	-50	87.3	9.4
23.8	4577	-50	87.3	9.4
23.85	4583	-51	87.3	9.4
23.9	4579	-52	87.31	9.4
23.95	4578	-53	87.35	9.4
24	4573	-53	87.35	9.4
24.05	4573	-55	87.35	9.4
24.1	4571	-57	87.37	9.4
24.15	4564	-60	87.39	9.4
24.2	4562	-63	87.39	9.4
24.25	4556	-67	87.39	9.4
24.3	4559	-71	87.39	9.4
24.35	4556	-76	87.39	9.4
24.4	4548	-80	87.39	9.4
24.45	4545	-83	87.39	9.4
24.5	4540	-85	87.39	9.4
24.55	4540	-85	87.39	9.4
24.6	4537	-82	87.4	9.4
24.65	4532	-78	87.39	9.4
24.7	4526	-74	87.42	9.4
24.75	4524	-70	87.4	9.4
24.8	4521	-69	87.42	9.4
24.85	4526	-70	87.42	9.4
24.9	4518	-71	87.42	9.4
24.95	4522	-74	87.46	9.4
25	4518	-75	87.46	9.4
25.05	4518	-75	87.48	9.4
25.1	4506	-75	87.48	9.4
25.15	4493	-75	87.49	9.4
25.2	4485	-75	87.49	9.4
25.25	4477	-74	87.49	9.4
25.3	4473	-74	87.49	9.4
25.35	4458	-74	87.55	9.4
25.4	4446	-74	87.57	9.4
25.45	4443	-73	87.57	9.4
25.5	4440	-73	87.58	9.4
25.55	4439	-72	87.62	9.4
25.6	4437	-72	87.64	9.4
25.65	4443	-71	87.64	9.4
25.7	4448	-71	87.64	9.4
25.75	4447	-70	87.64	9.4
25.8	4441	-71	87.66	9.4
25.85	4438	-72	87.66	9.4
25.9	4433	-75	87.66	9.4
25.95	4428	-77	87.67	9.4
26	4426	-79	87.67	9.4
26.05	4421	-80	87.67	9.4
26.1	4419	-79	87.66	9.4
26.15	4417	-77	87.66	9.4
26.2	4416	-75	87.66	9.4
26.25	4411	-73	87.66	9.4
26.3	4408	-70	87.66	9.4
26.35	4406	-67	87.66	9.4
26.4	4404	-64	87.66	9.4
26.45	4398	-62	87.66	9.4
26.5	4401	-60	87.66	9.4
26.55	4392	-60	87.66	9.4
26.6	4392	-61	87.66	9.4
26.65	4385	-62	87.66	9.4
26.7	4393	-63	87.66	9.4
26.75	4391	-64	87.66	9.4
26.8	4382	-64	87.66	9.4
26.85	4375	-64	87.64	9.4
26.9	4368	-64	87.64	9.4
26.95	4362	-64	87.64	9.4
27	4355	-64	87.64	9.4
27.05	4349	-64	87.64	9.4
27.1	4344	-65	87.64	9.4
27.15	4339	-66	87.64	9.4
27.2	4335	-66	87.64	9.4
27.25	4331	-67	87.64	9.4
27.3	4327	-67	87.64	9.4
27.35	4326	-67	87.62	9.4
27.4	4325	-66	87.62	9.4
27.45	4326	-66	87.58	9.4
27.5	4324	-66	87.58	9.4
27.55	4323	-66	87.62	9.4
27.6	4322	-66	87.58	9.4
27.65	4320	-66	87.58	9.4
27.7	4319	-66	87.58	9.4
27.75	4317	-65	87.58	9.4
27.8	4316	-64	87.62	9.4
27.85	4309	-62	87.58	9.4
27.9	4305	-60	87.58	9.4
27.95	4301	-58	87.58	9.4
28	4295	-57	87.58	9.4
28.05	4296	-56	87.58	9.4
28.1	4286	-56	87.58	9.4
28.15	4287	-55	87.58	9.4
28.2	4280	-54	87.58	9.4
28.25	4279	-54	87.58	9.4
28.3	4274	-54	87.62	9.4
28.35	4275	-54	87.58	9.4
28.4	4271	-55	87.58	9.4
28.45	4268	-57	87.58	9.4
28.5	4268	-58	87.58	9.4
28.55	4263	-58	87.58	9.4
28.6	4261	-59	87.58	9.4
28.65	4257	-60	87.58	9.4
28.7	4259	-62	87.57	9.4
28.75	4258	-63	87.58	9.4
28.8	4255	-64	87.58	9.4
28.85	4253	-65	87.58	9.4
28.9	4249	-64	87.57	9.4
28.95	4246	-63	87.58	9.4
29	4243	-61	87.58	9.4
29.05	4234	-60	87.57	9.4
29.1	4227	-58	87.58	9.4
29.15	4228	-57	87.57	9.4
29.2	4230	-56	87.57	9.4
29.25	4228	-56	87.58	9.4
29.3	4217	-57	87.58	9.4
29.35	4220	-58	87.57	9.4
29.4	4214	-59	87.57	9.4
29.45	4209	-60	87.57	9.4
29.5	4209	-60	87.57	9.4
29.55	4210	-61	87.58	9.4
29.6	4204	-62	87.57	9.4
29.65	4202	-63	87.57	9.4
29.7	4192	-63	87.57	9.4
29.75	4184	-64	87.57	9.4
29.8	4180	-64	87.57	9.4
29.85	4180	-64	87.58	9.4
29.9	4180	-64	87.57	9.4
29.95	4178	-62	87.57	9.4
30	4174	-61	87.58	9.4
30.05	4175	-60	87.57	9.4
30.1	4176	-60	87.58	9.4
30.15	4176	-61	87.58	9.4
30.2	4170	-63	87.58	9.4
30.25	4164	-64	87.58	9.4
30.3	4158	-65	87.58	9.4
30.35	4159	-64	87.58	9.4
30.4	4154	-64	87.58	9.4
30.45	4146	-64	87.58	9.4
30.5	4146	-65	87.58	9.4
30.55	4140	-68	87.58	9.4
30.6	4136	-70	87.58	9.4
30.65	4137	-72	87.58	9.4
30.7	4129	-73	87.58	9.4
30.75	4132	-73	87.58	9.4
30.8	4128	-73	87.62	9.4
30.85	4124	-73	87.62	9.4
30.9	4120	-73	87.64	9.4
30.95	4123	-73	87.62	9.4
31	4120	-73	87.62	9.4
31.05	4119	-74	87.64	9.4
31.1	4111	-76	87.64	9.4
31.15	4100	-77	87.64	9.4
31.2	4097	-78	87.58	9.4
31.25	4092	-79	87.62	9.4
31.3	4092	-80	87.64	9.4
31.35	4092	-80	87.62	9.4
31.4	4089	-79	87.62	9.4
31.45	4088	-79	87.62	9.4
31.5	4075	-78	87.64	9.4
31.55	4065	-77	87.62	9.4
31.6	4059	-76	87.62	9.4
31.65	4048	-75	87.64	9.4
31.7	4041	-75	87.64	9.4
31.75	4039	-76	87.64	9.4
31.8	4037	-77	87.64	9.4
31.85	4037	-78	87.64	9.4
31.9	4034	-79	87.62	9.4
31.95	4034	-81	87.64	9.4
32	4035	-81	87.64	9.4
32.05	4029	-82	87.62	9.4
32.1	4022	-81	87.64	9.4
32.15	4015	-80	87.64	9.4
32.2	4009	-80	87.64	9.4
32.25	4004	-80	87.64	9.4
32.3	4000	-80	87.64	9.4
32.35	3998	-81	87.64	9.4
32.4	3994	-80	87.64	9.4
32.45	3991	-78	87.64	9.4
32.5	3992	-75	87.62	9.4
32.55	3989	-71	87.64	9.4
32.6	3990	-68	87.62	9.4
32.65	3988	-65	87.64	9.4
32.7	3983	-63	87.62	9.4
32.75	3978	-63	87.62	9.4
32.8	3974	-63	87.64	9.4
32.85	3967	-63	87.64	9.4
32.9	3964	-64	87.58	9.4
32.95	3959	-66	87.64	9.4
33	3955	-67	87.62	9.4
33.05	3951	-69	87.62	9.4
33.1	3947	-69	87.62	9.4
33.15	3943	-69	87.62	9.4
33.2	3937	-68	87.64	9.4
33.25	3935	-66	87.58	9.4
33.3	3931	-64	87.62	9.4
33.35	3931	-63	87.58	9.4
33.4	3930	-62	87.58	9.4
33.45	3930	-62	87.58	9.4
33.5	3929	-63	87.58	9.4
33.55	3925	-64	87.57	9.4
33.6	3923	-65	87.57	9.4
33.65	3925	-66	87.58	9.4
33.7	3917	-65	87.58	9.4
33.75	3915	-65	87.58	9.4
33.8	3914	-64	87.57	9.4
33.85	3911	-63	87.57	9.4
33.9	3906	-62	87.57	9.4
33.95	3904	-61	87.57	9.4
34	3891	-59	87.57	9.4
34.05	3884	-59	87.57	9.4
34.1	3879	-58	87.55	9.4
34.15	3874	-59	87.57	9.4
34.2	3873	-60	87.57	9.4
34.25	3874	-61	87.57	9.4
34.3	3879	-63	87.57	9.4
34.35	3879	-65	87.57	9.4
34.4	3873	-67	87.57	9.4
34.45	3866	-69	87.57	9.4
34.5	3864	-71	87.57	9.4
34.55	3862	-72	87.57	9.4
34.6	3857	-73	87.55	9.4
34.65	3855	-74	87.57	9.4
34.7	3854	-75	87.57	9.4
34.75	3846	-75	87.57	9.4
34.8	3845	-76	87.57	9.4
34.85	3840	-75	87.55	9.4
34.9	3841	-75	87.55	9.4
34.95	3841	-74	87.55	9.4
35	3839	-72	87.53	9.4
35.05	3836	-70	87.53	9.4
35.1	3828	-69	87.53	9.4
35.15	3822	-69	87.53	9.4
35.2	3816	-69	87.53	9.4
35.25	3809	-70	87.53	9.4
35.3	3803	-70	87.53	9.4
35.35	3799	-70	87.53	9.4
35.4	3794	-69	87.53	9.4
35.45	3789	-67	87.53	9.4
35.5	3785	-66	87.53	9.4
35.55	3781	-66	87.53	9.4
35.6	3777	-65	87.53	9.4
35.65	3774	-65	87.53	9.4
35.7	3769	-66	87.53	9.4
35.75	3765	-66	87.53	9.4
35.8	3762	-67	87.53	9.4
35.85	3759	-68	87.53	9.4
35.9	3756	-69	87.53	9.4
35.95	3753	-71	87.53	9.4
36	3749	-72	87.53	9.4
36.05	3744	-73	87.53	9.4
36.1	3742	-73	87.49	9.4
36.15	3740	-72	87.49	9.4
36.2	3738	-71	87.53	9.4
36.25	3737	-70	87.53	9.4
36.3	3739	-69	87.53	9.4
36.35	3740	-68	87.53	9.4
36.4	3738	-67	87.49	9.4
36.45	3734	-67	87.53	9.4
36.5	3734	-66	87.53	9.4
36.55	3733	-65	87.53	9.4
36.6	3729	-65	87.53	9.4
36.65	3724	-65	87.53	9.4
36.7	3718	-64	87.49	9.4
36.75	3714	-64	87.53	9.4
36.8	3712	-64	87.49	9.4
36.85	3706	-64	87.49	9.4
36.9	3701	-63	87.49	9.4
36.95	3694	-62	87.53	9.4
37	3692	-62	87.49	9.4
37.05	3685	-61	87.53	9.4
37.1	3682	-60	87.53	9.4
37.15	3678	-60	87.49	9.4
37.2	3673	-61	87.49	9.4
37.25	3668	-63	87.53	9.4
37.3	3667	-66	87.49	9.4
37.35	3663	-69	87.49	9.4
37.4	3660	-72	87.53	9.4
37.45	3656	-75	87.49	9.4
37.5	3654	-76	87.49	9.4
37.55	3651	-77	87.49	9.4
37.6	3647	-78	87.49	9.4
37.65	3645	-77	87.49	9.4
37.7	3641	-76	87.49	9.4
37.75	3636	-75	87.49	9.4
37.8	3635	-74	87.49	9.4
37.85	3633	-73	87.49	9.4
37.9	3630	-72	87.53	9.4
37.95	3628	-71	87.49	9.4
38	3626	-71	87.49	9.4
38.05	3626	-70	87.49	9.4
38.1	3625	-70	87.49	9.4
38.15	3621	-70	87.49	9.4
38.2	3617	-70	87.49	9.4
38.25	3611	-70	87.49	9.4
38.3	3601	-70	87.49	9.4
38.35	3596	-69	87.49	9.4
38.4	3587	-69	87.49	9.4
38.45	3584	-67	87.49	9.4
38.5	3579	-66	87.49	9.4
38.55	3575	-63	87.49	9.4
38.6	3572	-61	87.49	9.4
38.65	3571	-60	87.49	9.4
38.7	3568	-59	87.49	9.4
38.75	3566	-59	87.49	9.4
38.8	3564	-60	87.49	9.4
38.85	3560	-62	87.49	9.4
38.9	3556	-65	87.49	9.4
38.95	3554	-67	87.48	9.4
39	3548	-70	87.48	9.4
39.05	3548	-73	87.48	9.4
39.1	3542	-75	87.49	9.4
39.15	3537	-77	87.49	9.4
39.2	3533	-77	87.49	9.4
39.25	3530	-77	87.48	9.4
39.3	3526	-75	87.48	9.4
39.35	3525	-74	87.48	9.4
39.4	3525	-72	87.48	9.4
39.45	3523	-71	87.49	9.4
39.5	3527	-69	87.48	9.4
39.55	3529	-68	87.48	9.4
39.6	3532	-68	87.48	9.4
